"Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Age","Customer_Days","marital_Divorced","marital_Married","marital_Single","marital_Together","marital_Widow","education_2n Cycle","education_Basic","education_Graduation","education_Master","education_PhD","MntTotal","MntRegularProds","AcceptedCmpOverall"
581380,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0
463440,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0
716130,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0
266460,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0
582930,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0
625130,0,1,16,NA,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0
556350,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0
334540,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0
303510,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0
56480,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1
75000,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,0,1,0,0,0,0,1,0,0,0,45,29,0
630330,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,61,2385,1,0,0,0,0,0,0,1,0,0,1072,1042,0
593540,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,68,2385,1,0,0,0,0,0,0,0,1,0,296,282,0
173230,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,33,2786,0,1,0,0,0,0,0,1,0,0,41,36,0
828000,0,0,23,NA,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,74,2741,0,0,1,0,0,0,0,0,0,1,1270,1225,2
418500,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,40,2711,0,1,0,0,0,0,0,1,0,0,92,88,0
377600,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,74,2826,0,0,0,1,0,0,0,1,0,0,289,261,0
769950,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1
338120,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,35,2762,0,0,1,0,0,1,0,0,0,0,94,55,0
370400,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0
NA,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0
586070,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1
653240,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0
406890,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,69,2627,0,0,0,1,0,0,0,1,0,0,345,246,0
185890,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,51,2702,0,0,1,0,0,0,0,1,0,0,62,49,0
